自身免疫性胃炎	胃炎
左眼鸟枪弹样视网膜脉络膜病变	脉络膜未特指的疾患
朗格汉斯细胞增多症鞍区受累肺部浸润	朗格汉斯细胞组织细胞增生症
阑尾粪石嵌顿阑尾穿孔	阑尾结石##粪便嵌塞
脾错构瘤	脾错构瘤
1、冠心病心绞痛型心功能II级冠脉支架植入术后；	冠状动脉粥样硬化性心脏病##心绞痛##心功能Ⅱ级(NYHA分级)##冠状动脉支架植入术后状态
前纵隔占位，小细胞恶性肿瘤	前纵隔恶性肿瘤##小细胞型恶性肿瘤
颞骨发育畸形	锁骨颅骨发育不全
1枕部皮肤坏死伴缺损	头面部皮肤坏死##皮肤缺损
双下肢溃疡伴感染	下肢溃疡##下肢软组织感染
乳腺癌局部晚期化疗	乳腺恶性肿瘤##癌##恶性肿瘤终末期化疗
混合先露大小双	复合先露
卵巢良性肿物	卵巢肿物
前列腺放射性粒子植入术后	前列腺恶性肿瘤##恶性肿瘤放射性粒子置入治疗
肺恶性肿瘤;冠状动脉供血不足;高脂血症;肝肾阴虚	肺恶性肿瘤##冠状动脉供血不足##高脂血症
颅骨后天性缺损	后天性颅骨缺损
血吸虫病性肝硬化	血吸虫性肝硬化
多脏器功能不全累及脑循环心肝肾胃肠代谢	多脏器功能障碍综合征[MODS]
胆管癌：重度贫血	胆管恶性肿瘤##胆管癌##重度贫血
左前臂皮肤划伤清创缝合后	前臂开放性损伤##清创术后
宫颈癌IIIb期化疗后	子宫颈恶性肿瘤##化学治疗##癌
双眼泪道激光术后	眼术后
肝片吸虫抗体阳性	肝片吸虫病
二尖瓣主动脉瓣为钙化及玻璃样变的瓣	主动脉瓣钙化##二尖瓣钙化
腭部鳞状细胞癌	腭部恶性肿瘤##鳞状细胞癌
腰腿痛/心律失常/感冒	腰痛##下肢疼痛##心律失常##感冒
左膝关节占位性病变	下肢占位
先天被动免疫性血小板减少症	先天性血小板减少##免疫性血小板减少
宫颈低级别上皮内病变CINI级	子宫颈上皮瘤样病变[CIN]I级
肝损伤(肝功能损害)	肝损伤##肝功能异常
语言发育异常	言语和语言发育障碍
左胫腓骨骨折	腓骨骨折##胫骨骨折
增生的纤维结缔组织其内查见真菌	真菌感染
右乳癌综合治疗后肝	乳腺恶性肿瘤##癌
双膝关节髌上滑膜皱襞综合症	膝关节滑膜皱襞综合征
左腓肠神经断裂	神经断裂
颅内病变X刀治疗后	放射治疗
念珠菌感染	念珠菌病
糖尿病并血管病変	糖尿病
"颈椎病,颈项痛,腰腿痛"	颈椎病##颈痛##腰痛##下肢疼痛
梨状窝鳞状细胞癌	梨状窝恶性肿瘤##鳞状细胞癌
常规儿童健康检查卵圆孔未闭	卵圆孔未闭
宫颈中分化鳞癌Ⅱb期放疗后	子宫颈恶性肿瘤##鳞状细胞癌##恶性肿瘤放疗
左膝腓肠肌拉伤	小腿后部肌群和肌腱损伤
左眼白内障人工晶体植入术后	白内障##人工晶体植入状态
左手小指中节基底部陈旧性撕脱性骨折	指骨中节骨折##陈旧性指骨骨折
多发性子宫肌瘤伴玻璃样变性	子宫平滑肌瘤
右足肿物	足肿物
卵巢低分化浆液性癌	卵巢恶性肿瘤##浆液性癌
继发性重度骨髓再生功能障碍	继发性再生障碍性贫血
宫颈高级别病变CINIII级	子宫颈上皮内瘤变III级[CINIII级]
d副舟骨畸形右侧d	先天性足副舟骨
神经系统特指疾患肢体不自主抖动待查	"不自主运动##神经系统的其他疾患,不可归类在他处者"
原发性醛固酮增生症	原发性醛固酮过多症
支气管肺发育异常	先天性支气管发育不全##先天性肺发育不良
右侧中央型肺癌伴阻塞性肺炎	肺恶性肿瘤##阻塞性肺炎##癌
双肺间质改变双上肺多发点状影	肺部阴影
"胆囊切除术后,胆管结石,胆管炎,骨关节炎,行动不便"	胆囊术后##胆管结石##胆管炎##骨关节病
足部疼痛待查(平足症)	扁平足
升结肠中－高分化管状腺癌	管状腺癌##升结肠恶性肿瘤
高血压、LAD-AO瘘	高血压
结核性胸膜炎并胸腔积液	结核性胸膜炎##胸腔积液
双下肢过敏性水疱	下肢浅表水疱##过敏反应
左内踝关节囊肿	踝关节囊肿
"乳腺癌,化疗后骨髓抑制,药物性肝损伤,化疗呕吐 血肿,转氨酶升高 黄疸"	乳腺恶性肿瘤##化疗后骨髓抑制##药物性肝损害##化疗药物反应##呕吐##转氨酶升高##黄疸##癌
冠心病，缺血性心肌病，糖尿病，肾病	冠状动脉粥样硬化性心脏病##缺血性心肌病##糖尿病##肾病
右侧上颌多生埋伏牙	埋伏牙##多生牙
左足副舟骨左膝髌骨软化	髌骨软骨软化##先天性足副舟骨
先天性子宫附件缺如	先天性输卵管缺如##先天性卵巢缺如
患者踢足球时不慎被对方踢倒致伤左踝关节	踝关节损伤
慢性心功能不心功能Ⅱ-III级	心功能Ⅱ--Ⅲ级(NYHA分级)
右Hoffa骨折切口复位内固定后	股骨髁骨折
S2、T8及左第8后肋骨转移瘤	脊柱继发恶性肿瘤##O##肋骨继发恶性肿瘤##转移性肿瘤
1、肺部感染2、尿酸增高	肺部感染
急性粒细胞性白血病M2型缓解期	急性粒细胞性白血病部分分化型伴缓解(M2型)
其他d左前额裂伤d	前额开放性损伤
耳廓部分离断	耳廓开放性损伤
高尿酸高粘滞血症尿感	高粘稠血症##高尿酸血症
食管胃交界溃疡型混合型神经内分	食管胃连接部恶性肿瘤##神经内分泌癌
骨髓淋巴细胞增生	淋巴细胞增殖性疾病
双乳分叶状肿瘤	叶状瘤
妊娠急腹症	急腹症##妊娠状态
急性前壁心肌再梗死KillipⅢ级	急性前壁再发心肌梗死##KillipIII级
多发骨质破坏原因代谢性骨病氟骨病肿瘤	骨质破坏##氟骨症##性质未特指的肿瘤
全身多脏器功能衰竭心肝肾肺胰腺凝血肠道	凝血功能障碍##多脏器功能障碍综合征[MODS]
醣尿病肾功能轻度降低	未特指的糖尿病伴有肾的并发症
胰管分裂症	胰腺分裂症
右膝撞伤	"下肢其他特指的损伤,水平未特指"
结缔组织疾病相关性间质性肺疾病急性加重	结缔组织病##间质性肺病
骨肿瘤放疗	骨恶性肿瘤##恶性肿瘤放疗
左腓骨骨缺损骨不连	腓骨骨折不连接
左侧软腭裂伤	软腭开放性损伤
双侧颊部及牙龈扁平苔藓免疫异常	扁平苔癣##口腔扁平苔癣
右侧颈内透析隧道导管脱出	透析导管引起的机械性并发症
乙状结肠中分化腺癌伴肝转移术后（T3N1M1 D	乙状结肠恶性肿瘤##肝继发恶性肿瘤##腺癌##转移性腺癌
G2P1孕35+5周待产LOA妊娠合并胰腺炎	孕35周##妊娠合并急性胰腺炎
糖尿病合并血糖过低	糖尿病性低血糖症
左眼老年性湿性黄斑病变	老年性黄斑变性
直肠中低分化腺癌	直肠恶性肿瘤##腺癌
带状疱疹后综合征	带状疱疹
感染甲沟炎	甲沟炎
右前降支肌桥	冠状动脉肌桥
左眼视网膜脉络膜缺血性病变病	脉络膜缺血##视网膜动脉供血不足
女性不育症与宫角阻塞有关	子宫起因的女性不孕症
系统性红斑狼疮并狼疮性肾炎（V型）并血液系统损害	系统性红斑狼疮##狼疮性肾炎
胸12腰2腰4陈旧压缩改变	腰椎压缩性骨折##陈旧性腰椎骨折##胸椎压缩性骨折##陈旧性胸椎骨折##腰椎骨折L2##腰椎骨折L4
多动症.铅高	注意缺陷与多动障碍##铅中毒
包皮新生物	皮赘
系统性硬皮病并间质性肺疾病	间质性肺病##系统性硬化症性肺病变
胎儿完全性大动脉转位伴完整室间隔	完全型大动脉转位
尺桡骨折骨不连	尺骨骨折不连接##桡骨骨折不连接
右侧输卵管异位妊娠保守治疗后	输卵管妊娠
高血压性心脏损害2脑后循环缺血	高血压性心脏病##后循环缺血
急粒、乙肝3.3	急性粒细胞白血病##O
肿瘤标志物升高CEA	CEA升高##肿瘤标记物升高
淤血性脾肿大副脾	先天性副脾
全身多发转移癌复治	多部位继发恶性肿瘤##转移性癌
对角支轻微粥样硬化伴轻微狭窄	冠状动脉粥样硬化##冠状动脉狭窄
孕3产1宫内妊娠38周1天单活胎LOA	孕38周
脑动脉硬化脂肪肝	动脉硬化##脂肪肝
鼻咽低分化鳞癌放射治疗	鼻咽恶性肿瘤##鳞状细胞癌
心功能Ⅱ--Ⅲ级killip分期	KillipII级##KillipIII级
右侧耳后伤口愈合不良	开放性损伤愈合不良##耳部开放性损伤
右肾静脉压迫综合征[胡桃夹现象]	左肾静脉压迫综合征[胡桃夹现象]
宫颈CINI停经原因	子宫颈上皮瘤样病变[CIN]I级##停经
特发性斑疹毛细血管扩张	毛细血管扩张症##皮疹
右侧额部脑膜瘤	脑膜瘤
糖尿病足-右足感染	糖尿病足##感染
产前心脏病	未特指的心脏病
均小骨盆难产	均小骨盆引起的梗阻性分娩
卵巢颗粒细胞癌	卵巢恶性肿瘤##颗粒细胞癌
视网膜裂孔激光术后	视网膜裂孔##眼术后
右肺上叶小细胞癌伽玛刀治疗后化疗后	右肺上叶恶性肿瘤##小细胞癌##化学治疗##恶性肿瘤放疗
左前臂犬咬伤	被狗咬伤##前臂开放性损伤
左手中指掌指关节处包块	手肿物
免疫相关性白质脑病脑白质变性3级	脑白质病##自身免疫相关性脑病
左肩背部肿瘤	肩部肿瘤##背部肿瘤
乳腺癌 骨转移癌可能	乳腺恶性肿瘤##癌##骨继发恶性肿瘤##转移性癌
肝右外叶肝细胞癌	肝细胞癌##肝细胞癌
大便次数增多待查肛门潮湿	大便习惯改变
范博盖尔特脑白质病	脑白质病
双侧基底节区及脑桥腔隙灶深部脑白质缺血?	腔隙性脑梗死##基底节脑梗死##脑血管供血不足
扁平苔藓其他的	扁平苔癣
右隐睾包茎	单侧隐睾##包茎
左手中指皮肤割伤	手指开放性损伤
颈椎失稳症	颈椎不稳定
双下肢活动障碍原因待查脑血管疾病后遗症	运动障碍##脑血管病后遗症
椎管内病变伴截瘫	截瘫[双下肢瘫痪]
蝶鞍区脑膜良性肿瘤	脑膜良性肿瘤
右肺下叶局限性炎性病变	肺炎
"直肠癌 盆腔淋巴结转移,术前放化疗"	直肠恶性肿瘤##盆腔淋巴结继发恶性肿瘤##恶性肿瘤术前放疗##恶性肿瘤术前化疗##癌
工作时与小偷搏斗摔伤	工作中的意外损伤##摔伤
食管下段Barrett食管局灶轻度异型	巴氏食管
小肠癌史	小肠恶性肿瘤史
右髋关节破坏AS	强直性脊柱炎
左侧脑室脑膜瘤，WHO I级，皮细胞型。	脑室脑膜瘤
心肌肌桥	冠状动脉肌桥
血栓性混合痔	血栓性痔##混合痔
腺癌浸润	腺癌
胎盘部分滞留	胎盘部分残留不伴出血
双肾囊肿多发	肾囊肿
慢性浅表性胃炎并胃体糜烂	慢性浅表性胃炎##糜烂性胃炎
血液系统受累免疫相关性血小板减低	血小板减少
颌下腺腺泡轻度扩张符合涎石症	涎石病
肝内外胆管结石伴慢性胆管炎	慢性胆管炎##胆管结石
内侧关节室OA骨梗死	膝骨关节病##骨坏死
恶性肿瘤自体造血干细胞移植治疗	恶性肿瘤##自体造血干细胞移植状态
食管下段低分化鳞癌	食管下三分之一的恶性肿瘤##鳞状细胞癌
癌术后靶向治疗	恶性肿瘤术后靶向治疗##癌
双下肢行走异常	异常步态
肺部感染伴胸腔积液	肺部感染##胸腔积液
双下肢动脉粥样硬化闭塞症	下肢动脉粥样硬化闭塞症
右膝损伤术后	"下肢未特指的损伤,水平未特指"
非霍奇金淋巴瘤-弥漫大B细胞淋巴瘤-IV期B	非霍奇金淋巴瘤##弥漫大B细胞淋巴瘤
子宫内膜样腺癌伴鳞状上皮分化	子宫内膜样腺癌##子宫内膜恶性肿瘤
膜增 糖尿病肾病不除外	糖尿病性肾病
骨髓移植术后造血干细胞移植术后	骨髓移植术后##造血干细胞移植状态
慢性阻塞性肺疾病并肺部感染	慢性阻塞性肺疾病##肺部感染
胃肠间质瘤术后，贫血，白细胞减少	胃肠道间质性瘤##贫血##白细胞减少
多点取材仅见少量高度变性癌细胞胃壁全	胃恶性肿瘤##癌
胃癌术后高血压病	胃术后##胃恶性肿瘤##癌##高血压
左侧甲状腺腺瘤性伴囊性变	甲状腺良性肿瘤##腺瘤##甲状腺囊肿
右第1足趾远节趾骨撕脱性骨折	拇趾骨折
左肺上叶腺癌cT3N3M0 IIIB期（第八版） 化疗	左肺上叶恶性肿瘤##腺癌##化学治疗##淋巴结继发恶性肿瘤
B型预激综合症希氏束旁道	预激综合征[沃-帕-怀综合征]
右上肢肌肉组织慢性炎	肌炎
肝外中-低分化胆管腺癌	胆管腺癌
右肺下叶硬结灶双肺下叶间质改变	肺诊断性影像异常
高热惊厥可能4卵圆孔未闭	热性惊厥##卵圆孔未闭
右侧扁桃体鳞状细胞癌	鳞状细胞癌##扁桃体恶性肿瘤
新生儿细菌性脓毒症	新生儿未特指的细菌性脓毒症
右肺中分化鳞癌术后 右肺转移？	右肺恶性肿瘤##肺继发恶性肿瘤##鳞状细胞癌##转移性鳞状细胞癌
先天性喉哮鸣	先天性喉喘鸣
胎儿肺动脉反流心室强光点	肺动脉瓣关闭不全
发育不全	先天性发育异常
右肾癌不除外	肾恶性肿瘤##癌
纵隔淋巴结恶性肿瘤	未特指的淋巴结恶性肿瘤
动脉粥样硬化(颈动脉斑块)	颈动脉粥样硬化
子宫颈鳞癌放化疗后IIIB期	子宫颈恶性肿瘤##鳞状细胞癌##恶性肿瘤放疗##化学治疗
脑干小脑梗死多发性腔隙性脑梗死	小脑梗死##脑干梗死##多发性脑梗死##腔隙性脑梗死
双下肢麻痹待查低钾性周期麻痹	低钾型周期性瘫痪[低血钾性周期性麻痹/家族性周期性瘫痪]
": 阴道伤口息肉术后脱痂恢复期,宫颈鳞状细胞癌IIA2期伴HPV33型感染术后第二次化疗后,骨髓抑制,轻度贫血 ,阴道顶端恢复期,绝经综合征 ,阴道顶端肉芽增生"	阴道息肉##手术后恢复期##子宫颈恶性肿瘤##鳞状细胞癌##恶性肿瘤术后化疗##骨髓抑制##轻度贫血##更年期综合征##宫颈人乳头瘤病毒感染
右肾盂旁囊肿	肾盂囊肿
妊娠合并桥本氏甲状腺炎	自身免疫性甲状腺炎[桥本病]##妊娠状态
先天性鳃裂瘘管左侧先天性外耳道瘘管	鳃裂瘘##外耳道瘘
左足副舟骨源性平足症	先天性足副舟骨##扁平足
HIV感染	人类免疫缺陷病毒[HIV]病造成的多发性感染
厌氧菌感染	细菌感染
胎盘植入胎盘组织广泛退变坏死伴钙盐沉积	钙质沉着症##胎盘植入不伴出血
特指泌尿系疾病阴茎扭转	泌尿系统其他特指的疾患##阴茎未特指的疾患
额骨小骨瘤	额骨良性肿瘤##骨瘤
慢性肾脏病合并矿物质骨质代谢异常	慢性肾病##矿物质代谢紊乱
手术个人史左髂动脉支架成形术	周围血管支架植入术后状态
右肾造瘘口漏尿	肾造口状态
骨髓增殖性疾病原发性血小板增生性可能性大	骨髓增生性疾病##血小板增多
嗜酸细胞性支气管炎	支气管炎
带状疱疹？虫咬性皮炎？	带状疱疹##昆虫性皮炎##昆虫咬伤
1左先天性睑下垂2右下肢肌萎缩待查	先天性上睑下垂##下肢肌肉萎缩
甲状腺双侧叶乳头状癌	甲状腺乳头状癌##甲状腺恶性肿瘤
颈部及腰背刀伤	颈部开放性损伤##下背开放性损伤
发热(肺部感染?)	肺部感染##感染性发热
新生儿先天性心血管畸形	先天性心脏病
腰椎病变伴坐骨神经痛	坐骨神经痛##腰椎病
左肾静脉畸形	肾血管畸形
头皮色素瘤	头皮恶性黑色素瘤##恶性黑色素瘤
乙状结肠癌，肝转移，膀胱转移	乙状结肠恶性肿瘤##癌##肝继发恶性肿瘤##转移性癌##膀胱继发恶性肿瘤
中分化腺癌伴粘液腺癌	腺癌##粘液腺癌
睑缐炎	睑腺炎[麦粒肿]
早孕人流宫颈HPV58	早期人工流产##宫颈人乳头瘤病毒感染
左前降支中段心肌桥伴轻度狭窄	冠状动脉肌桥##冠状动脉狭窄
左足皮肤割伤	足部开放性损伤
腰僵三年强脊炎	强直性脊柱炎
急性坏疽穿孔性阑尾炎伴腹膜炎	急性坏疽性阑尾炎伴穿孔##急性坏疽性阑尾炎伴腹膜炎
陈旧性右室前壁心肌梗梗塞	陈旧性右心室心肌梗死##陈旧性前壁心肌梗死
范德伍德综合征	范德沃德综合征[VanderWoude综合征]
甲状腺双叶微小乳头状癌	甲状腺恶性肿瘤##乳头状微小癌
原发不孕纵膈子宫	子宫纵隔
右侧肾盂输尿管积水	输尿管积水##肾积水
右舌根鳞状细胞Ca	舌根恶性肿瘤##鳞状细胞癌
睾丸动态未定肿瘤	睾丸动态未定或动态未知的肿瘤
左腕部皮肤异物	腕部浅表异物
多发性子宫肌瘤	子宫多发性平滑肌瘤##子宫平滑肌瘤
胎儿异常胎儿融合肾	融合肾
双眼人工晶体植入状态左眼晶体移位	人工晶体脱位
宫颈癌IB3期	子宫颈恶性肿瘤##癌
右颈部淋巴结反应性增生	颈淋巴结肿大##淋巴结反应性增生
直肠乙状结肠结合部中分化腺癌术后 IV期化疗	直肠恶性肿瘤##乙状结肠恶性肿瘤##恶性肿瘤术后化疗##腺癌
气管造口状态(气管切开术后)	气管造口状态
全身淋巴结放化疗后	恶性肿瘤放疗##化学治疗##未特指的淋巴结恶性肿瘤
低度鳞状上皮内病变HPV高危型35阳性	人乳头瘤病毒感染
右侧慢性化脓性中耳乳突炎（骨疡型）	慢性化脓性中耳炎##慢性乳突炎##乳突骨疡
双乳纤维囊性乳腺病合并导管内乳头状瘤	乳腺良性肿瘤##乳房纤维囊性乳腺病##导管内乳头状瘤
丝虫性象皮病	丝虫性象皮肿
足趾关节肿痛	关节痛
全结肠切除术大便次数增多好转	大便习惯改变
左眼急性视网膜坏死	急性视网膜坏死综合征
热水烫伤右下肢	沸水烫伤##下肢烫伤
会厌鳞癌	会厌恶性肿瘤##鳞状细胞癌
妊娠性瘙痒症	瘙痒症##妊娠状态
双上肺继发性细支气管扩张	支气管扩张症
右肺癌放化疗后	右肺恶性肿瘤##化学治疗##恶性肿瘤放疗
颈腰椎病	颈椎病##腰椎病
左侧泌尿系结石碎石后，腰疼待查;	泌尿系结石##腰痛
外阴病毒感染	病毒感染##会阴部软组织感染
食管髓质型鳞状细胞癌	食管恶性肿瘤##鳞状细胞癌
